time,rayId,X,Y,Z,intensity
0.809861,24,7.94205,0.20797,-0.346876,0.0127477
0.809861,25,14.08,0.368697,-0.368824,0.00719493
0.809861,26,61.7907,1.61805,-0.539424,0.00163998
0.809861,27,0,0,0,0
0.809861,28,0,0,0,0
0.809861,29,0,0,0,0
0.809861,30,7.93678,0.346527,-0.346857,0.0127484
0.809861,31,14.07,0.614312,-0.368788,0.00719562
0.809861,32,61.7269,2.69505,-0.539196,0.00164067
0.809861,33,0,0,0,0
0.809861,34,0,0,0,0
0.809861,35,0,0,0,0
0.900515,0,8.05112,-0.35152,-0.351855,0.0126098
0.900515,1,14.395,-0.628498,-0.377305,0.00705698
0.900515,2,67.6538,-2.95383,-0.590968,0.001502
0.900515,3,0,0,0,0
0.900515,4,0,0,0,0
0.900515,5,0,0,0,0
0.900515,6,8.05653,-0.210967,-0.351876,0.012609
0.900515,7,14.4053,-0.377217,-0.377346,0.00705621
0.900515,8,67.7299,-1.77357,-0.591273,0.00150123
0.900515,9,0,0,0,0
0.900515,10,0,0,0,0
0.900515,11,0,0,0,0
0.900515,12,8.05923,-0.0703318,-0.351887,0.0126087
0.900515,13,14.4105,-0.125758,-0.377367,0.00705583
0.900515,14,67.7679,-0.591402,-0.591424,0.00150084
0.900515,15,0,0,0,0
0.900515,16,0,0,0,0
0.900515,17,0,0,0,0
0.900515,18,8.05922,0.0703317,-0.351887,0.0126087
0.900515,19,14.4105,0.125758,-0.377366,0.00705583
0.900515,20,67.7677,0.5914,-0.591423,0.00150085
0.900515,21,0,0,0,0
0.900515,22,0,0,0,0
0.900515,23,0,0,0,0
0.900515,24,8.05652,0.210967,-0.351876,0.0126091
0.900515,25,14.4053,0.377216,-0.377345,0.00705622
0.900515,26,66.6696,1.7458,-0.582016,0.00150124
0.900515,27,0,0,0,0
0.900515,28,0,0,0,0
0.900515,29,0,0,0,0
0.900515,30,8.05111,0.351519,-0.351854,0.0126098
0.900515,31,14.3949,0.628496,-0.377304,0.007057
0.900515,32,67.6528,2.95379,-0.59096,0.00150202
0.900515,33,0,0,0,0
0.900515,34,0,0,0,0
0.900515,35,0,0,0,0
1.00011,0,8.1582,-0.356195,-0.356534,0.0124832
1.00011,1,14.704,-0.641989,-0.385404,0.00693025
1.00011,2,74.1204,-3.23617,-0.647455,0.00137524
1.00011,3,0,0,0,0
1.00011,4,0,0,0,0
1.00011,5,0,0,0,0
1.00011,6,8.16373,-0.213775,-0.356558,0.0124823
1.00011,7,14.7147,-0.385319,-0.385451,0.0069294
1.00011,8,74.2113,-1.94329,-0.647854,0.00137439
1.00011,9,0,0,0,0
1.00011,10,0,0,0,0
1.00011,11,0,0,0,0
1.00011,12,8.16649,-0.0712679,-0.35657,0.0124819
1.00011,13,14.7201,-0.12846,-0.385474,0.00692898
1.00011,14,74.2566,-0.648028,-0.648053,0.00137397
1.00011,15,0,0,0,0
1.00011,16,0,0,0,0
1.00011,17,0,0,0,0
1.00011,18,8.16648,0.0712679,-0.35657,0.0124819
1.00011,19,14.7201,0.12846,-0.385474,0.00692899
1.00011,20,74.2562,0.648024,-0.648049,0.00137398
1.00011,21,0,0,0,0
1.00011,22,0,0,0,0
1.00011,23,0,0,0,0
1.00011,24,8.16371,0.213774,-0.356558,0.0124823
1.00011,25,14.7147,0.385317,-0.385449,0.00692943
1.00011,26,73.0526,1.91295,-0.637739,0.00137441
1.00011,27,0,0,0,0
1.00011,28,0,0,0,0
1.00011,29,0,0,0,0
1.00011,30,8.15818,0.356194,-0.356533,0.0124832
1.00011,31,14.7039,0.641985,-0.385401,0.00693029
1.00011,32,74.1184,3.23608,-0.647438,0.00137527
1.00011,33,0,0,0,0
1.00011,34,0,0,0,0
1.00011,35,0,0,0,0
1.10052,0,8.24608,-0.360032,-0.360375,0.0123795
1.10052,1,14.9628,-0.65329,-0.392188,0.00682659
1.10052,2,80.3552,-3.50838,-0.701917,0.00127155
1.10052,3,0,0,0,0
1.10052,4,0,0,0,0
1.10052,5,0,0,0,0
1.10052,6,8.25171,-0.216079,-0.360401,0.0123786
1.10052,7,14.9739,-0.392106,-0.39224,0.00682568
1.10052,8,80.4616,-2.10696,-0.702418,0.00127065
1.10052,9,0,0,0,0
1.10052,10,0,0,0,0
1.10052,11,0,0,0,0
1.10052,12,8.25452,-0.0720361,-0.360414,0.0123782
1.10052,13,14.9795,-0.130724,-0.392266,0.00682524
1.10052,14,80.5144,-0.702639,-0.702666,0.0012702
1.10052,15,0,0,0,0
1.10052,16,0,0,0,0
1.10052,17,0,0,0,0
1.10052,18,8.25451,0.0720361,-0.360414,0.0123782
1.10052,19,14.9794,0.130724,-0.392265,0.00682525
1.10052,20,80.5137,0.702632,-0.702659,0.00127021
1.10052,21,0,0,0,0
1.10052,22,0,0,0,0
1.10052,23,0,0,0,0
1.10052,24,8.25169,0.216078,-0.3604,0.0123787
1.10052,25,14.9738,0.392104,-0.392238,0.00682572
1.10052,26,80.4593,2.1069,-0.702398,0.00127068
1.10052,27,0,0,0,0
1.10052,28,0,0,0,0
1.10052,29,0,0,0,0
1.10052,30,8.24604,0.36003,-0.360373,0.0123796
1.10052,31,14.9627,0.653284,-0.392185,0.00682665
1.10052,32,80.3515,3.50822,-0.701885,0.00127161
1.10052,33,0,0,0,0
1.10052,34,0,0,0,0
1.10052,35,0,0,0,0
1.20025,0,8.31378,-0.362987,-0.363333,0.0123073
1.20025,1,15.1582,-0.66182,-0.397309,0.00675426
1.20025,2,85.4008,-3.72868,-0.745991,0.00119921
1.20025,3,0,0,0,0
1.20025,4,0,0,0,0
1.20025,5,0,0,0,0
1.20025,6,8.31949,-0.217853,-0.363361,0.0123063
1.20025,7,15.1695,-0.397228,-0.397364,0.00675331
1.20025,8,85.5203,-2.23943,-0.74658,0.00119826
1.20025,9,0,0,0,0
1.20025,10,0,0,0,0
1.20025,11,0,0,0,0
1.20025,12,8.32234,-0.0726279,-0.363375,0.0123058
1.20025,13,15.1752,-0.132432,-0.397392,0.00675285
1.20025,14,85.5795,-0.746841,-0.74687,0.0011978
1.20025,15,0,0,0,0
1.20025,16,0,0,0,0
1.20025,17,0,0,0,0
1.20025,18,8.32233,0.0726278,-0.363374,0.0123059
1.20025,19,15.1752,0.132432,-0.397391,0.00675287
1.20025,20,85.5784,0.746831,-0.746859,0.00119782
1.20025,21,0,0,0,0
1.20025,22,0,0,0,0
1.20025,23,0,0,0,0
1.20025,24,8.31946,0.217853,-0.36336,0.0123064
1.20025,25,15.1694,0.397225,-0.397361,0.00675336
1.20025,26,85.5167,2.23933,-0.746549,0.00119831
1.20025,27,0,0,0,0
1.20025,28,0,0,0,0
1.20025,29,0,0,0,0
1.20025,30,8.31372,0.362985,-0.363331,0.0123073
1.20025,31,15.158,0.661812,-0.397304,0.00675434
1.20025,32,85.3949,3.72842,-0.74594,0.00119929
1.20025,33,0,0,0,0
1.20025,34,0,0,0,0
1.20025,35,0,0,0,0
1.30977,0,8.38513,-0.366103,-0.366451,0.0122259
1.30977,1,15.3724,-0.671175,-0.402925,0.00667288
1.30977,2,91.7952,-4.00787,-0.801848,0.00111781
1.30977,3,0,0,0,0
1.30977,4,0,0,0,0
1.30977,5,0,0,0,0
1.30977,6,8.39092,-0.219724,-0.366481,0.0122249
1.30977,7,15.3841,-0.402846,-0.402984,0.00667189
1.30977,8,91.9324,-2.40733,-0.802557,0.00111682
1.30977,9,0,0,0,0
1.30977,10,0,0,0,0
1.30977,11,0,0,0,0
1.30977,12,8.3938,-0.0732516,-0.366495,0.0122244
1.30977,13,15.3899,-0.134305,-0.403014,0.00667141
1.30977,14,92.0001,-0.802872,-0.802903,0.00111634
1.30977,15,0,0,0,0
1.30977,16,0,0,0,0
1.30977,17,0,0,0,0
1.30977,18,8.39379,0.0732515,-0.366495,0.0122245
1.30977,19,15.3898,0.134305,-0.403012,0.00667144
1.30977,20,88.7286,0.774323,-0.774352,0.109641
1.30977,21,0,0,0,0
1.30977,22,0,0,0,0
1.30977,23,0,0,0,0
1.30977,24,8.39087,0.219723,-0.366479,0.012225
1.30977,25,15.3839,0.402842,-0.40298,0.00667197
1.30977,26,91.9263,2.40717,-0.802504,0.0011169
1.30977,27,0,0,0,0
1.30977,28,0,0,0,0
1.30977,29,0,0,0,0
1.30977,30,8.38505,0.366099,-0.366448,0.012226
1.30977,31,15.3721,0.671162,-0.402917,0.006673
1.30977,32,91.7851,4.00742,-0.801759,0.00111793
1.30977,33,0,0,0,0
1.30977,34,0,0,0,0
1.30977,35,0,0,0,0
1.40986,0,8.437,-0.368367,-0.368718,0.0121693
1.40986,1,15.5277,-0.677954,-0.406995,0.00661624
1.40986,2,96.8438,-4.22829,-0.845949,0.00106115
1.40986,3,0,0,0,0
1.40986,4,0,0,0,0
1.40986,5,0,0,0,0
1.40986,6,8.44284,-0.221084,-0.368749,0.0121683
1.40986,7,15.5395,-0.406917,-0.407057,0.00661522
1.40986,8,96.9955,-2.53992,-0.846757,0.00106014
1.40986,9,0,0,0,0
1.40986,10,0,0,0,0
1.40986,11,0,0,0,0
1.40986,12,8.44575,-0.0737049,-0.368764,0.0121678
1.40986,13,15.5454,-0.135663,-0.407087,0.00661473
1.40986,14,97.0699,-0.847116,-0.847149,0.00105965
1.40986,15,0,0,0,0
1.40986,16,0,0,0,0
1.40986,17,0,0,0,0
1.40986,18,8.44573,0.0737048,-0.368763,0.0121678
1.40986,19,15.5454,0.135662,-0.407085,0.00661477
1.40986,20,88.5048,0.772369,-0.772399,0.109694
1.40986,21,0,0,0,0
1.40986,22,0,0,0,0
1.40986,23,0,0,0,0
1.40986,24,8.44277,0.221082,-0.368746,0.0121684
1.40986,25,15.5393,0.406911,-0.407051,0.00661532
1.40986,26,96.9864,2.53968,-0.846678,0.00106024
1.40986,27,0,0,0,0
1.40986,28,0,0,0,0
1.40986,29,0,0,0,0
1.40986,30,8.43688,0.368362,-0.368713,0.0121695
1.40986,31,15.5273,0.677937,-0.406984,0.0066164
1.40986,32,96.8287,4.22763,-0.845816,0.00106132
1.40986,33,0,0,0,0
1.40986,34,0,0,0,0
1.40986,35,0,0,0,0
1.50964,0,8.48093,-0.370286,-0.370638,0.012122
1.50964,1,15.6599,-0.683725,-0.410459,0.00656895
1.50964,2,101.493,-4.43129,-0.886562,0.00101386
